Scenario,Entities,Colliders,Avg(ms),Min(ms),Max(ms),P50(ms),P95(ms),P99(ms),StdDev(ms),FramesWithinBudget,FramesExceeding,Stability(%),EstimatedFPS,TotalCollisions,AvgCollisionsPerFrame,MaxCollisionsPerFrame
Static(1k),1000,0,0.313,0.055,12.432,0.061,0.329,12.432,1.580,59,1,98.3,3191.7,0,0.00,0
Linear-10spheres,10,10,0.345,0.156,6.558,0.225,0.600,3.366,0.657,120,0,100.0,2900.4,0,0.00,0
Linear-50spheres,50,50,0.492,0.329,1.503,0.461,0.785,1.065,0.162,120,0,100.0,2031.2,0,0.00,0
Linear-100spheres,100,100,0.563,0.446,1.890,0.583,0.628,0.787,0.138,120,0,100.0,1774.7,0,0.00,0
Falling-10spheres,10,10,0.092,0.066,0.357,0.081,0.115,0.235,0.031,180,0,100.0,10928.3,0,0.00,0
Falling-50spheres,50,50,0.322,0.229,1.780,0.286,0.435,0.503,0.127,180,0,100.0,3106.5,0,0.00,0
Falling-100spheres,100,100,0.577,0.411,2.315,0.524,0.724,1.852,0.198,180,0,100.0,1731.9,0,0.00,0
Falling-250spheres,250,250,1.425,1.057,3.321,1.259,1.903,2.397,0.359,180,0,100.0,701.7,0,0.00,0
Falling-500spheres,500,500,3.018,2.152,4.785,2.620,4.187,4.725,0.769,180,0,100.0,331.4,0,0.00,0
Spheres-100,100,100,0.532,0.423,1.789,0.472,0.720,0.913,0.148,120,0,100.0,1879.1,0,0.00,0
Boxes-100,100,100,0.603,0.421,1.575,0.476,1.059,1.242,0.227,120,0,100.0,1657.1,0,0.00,0
Spheres-50,50,50,0.250,0.205,0.368,0.225,0.342,0.359,0.043,120,0,100.0,3999.8,0,0.00,0
Boxes-50,50,50,0.297,0.207,1.374,0.226,0.534,0.540,0.144,120,0,100.0,3372.2,0,0.00,0
Stacked-10x10,385,385,4.009,2.280,5.927,4.159,4.372,5.892,0.494,180,0,100.0,249.4,0,0.00,0
Stacked-15x15,1240,1240,14.164,6.727,22.074,14.554,16.024,17.916,2.041,3,177,1.7,70.6,0,0.00,0
Mixed-70dyn+30static,100,100,0.388,0.308,1.530,0.350,0.498,0.535,0.119,120,0,100.0,2576.9,0,0.00,0
Mixed-200dyn+100static,300,300,1.164,0.932,3.073,1.085,1.466,2.723,0.271,120,0,100.0,859.0,0,0.00,0